beta_OV_1_V,V_V,rate
5.0,3.6,0.0
5.0,3.6602,0.0
5.0,3.7203,0.0
5.0,3.7805,0.0
5.0,3.8406,0.0
5.0,3.9008,0.0
5.0,3.9609,0.0
5.0,4.0211,0.0
5.0,4.0812,0.0
5.0,4.1414,0.0
5.0,4.2015,7.54713e-05
5.0,4.2617,0.0036106935
5.0,4.3218,0.0083863336
5.0,4.382,0.0148376222
5.0,4.4421,0.0235525011
5.0,4.5023,0.0353252054
5.0,4.5624,0.051228647
5.0,4.6226,0.0727121947
5.0,4.6827,0.1017337632
5.0,4.7429,0.1409382492
10.0,3.6,0.0
10.0,3.6602,0.0
10.0,3.7203,0.0
10.0,3.7805,0.0
10.0,3.8406,0.0
10.0,3.9008,0.0
10.0,3.9609,0.0
10.0,4.0211,0.0
10.0,4.0812,0.0
10.0,4.1414,0.0
10.0,4.2015,0.0001515123
10.0,4.2617,0.0085250977
10.0,4.3218,0.0238057263
10.0,4.382,0.0516907478
10.0,4.4421,0.1025770329
10.0,4.5023,0.1954374245
10.0,4.5624,0.3648947213
10.0,4.6226,0.6741307147
10.0,4.6827,1.2384433849
10.0,4.7429,2.2682355063
20.0,3.6,0.0
20.0,3.6602,0.0
20.0,3.7203,0.0
20.0,3.7805,0.0
20.0,3.8406,0.0
20.0,3.9008,0.0
20.0,3.9609,0.0
20.0,4.0211,0.0
20.0,4.0812,0.0
20.0,4.1414,0.0
20.0,4.2015,0.0003053201
20.0,4.2617,0.0243179246
20.0,4.3218,0.1042827132
20.0,4.382,0.3705748365
20.0,4.4421,1.2573588346
20.0,4.5023,4.210453539
20.0,4.5624,14.0446052063
20.0,4.6226,46.7934834835
20.0,4.6827,155.8510885211
20.0,4.7429,519.0257021942
40.0,3.6,0.0
40.0,3.6602,0.0
40.0,3.7203,0.0
40.0,3.7805,0.0
40.0,3.8406,0.0
40.0,3.9008,0.0
40.0,3.9609,0.0
40.0,4.0211,0.0
40.0,4.0812,0.0
40.0,4.1414,0.0
40.0,4.2015,0.0006199623
40.0,4.2617,0.1077719946
40.0,4.3218,1.2960538531
40.0,4.382,14.4737206184
40.0,4.4421,160.6098415593
40.0,4.5023,1781.2128074753
40.0,4.5624,19753.1827504704
40.0,4.6226,219056.5966186252
40.0,4.6827,2429267.881496821
40.0,4.7429,26939806.00521771
