gamma_V,eta_V,phi_V
0.2,0.0,1.0
0.2,0.0487,1.009828
0.2,0.0973,1.019851
0.2,0.146,1.030075
0.2,0.1946,1.040507
0.2,0.2433,1.051151
0.2,0.292,1.062016
0.2,0.3406,1.073108
0.2,0.3893,1.084433
0.2,0.438,1.096001
0.2,0.4866,1.107818
0.2,0.5353,1.119892
0.2,0.5839,1.132233
0.2,0.6326,1.144848
0.2,0.6813,1.157748
0.2,0.7299,1.170942
0.2,0.7786,1.18444
0.2,0.8273,1.198253
0.2,0.8759,1.212392
0.2,0.9246,1.226868
0.35,0.0,1.0
0.35,0.0487,1.017327
0.35,0.0973,1.035265
0.35,0.146,1.053847
0.35,0.1946,1.073108
0.35,0.2433,1.093086
0.35,0.292,1.113822
0.35,0.3406,1.13536
0.35,0.3893,1.157748
0.35,0.438,1.181036
0.35,0.4866,1.205281
0.35,0.5353,1.230541
0.35,0.5839,1.256883
0.35,0.6326,1.284378
0.35,0.6813,1.313102
0.35,0.7299,1.343141
0.35,0.7786,1.374586
0.35,0.8273,1.407539
0.35,0.8759,1.442111
0.35,0.9246,1.478423
0.5,0.0,1.0
0.5,0.0487,1.024938
0.5,0.0973,1.051151
0.5,0.146,1.078741
0.5,0.1946,1.107818
0.5,0.2433,1.138505
0.5,0.292,1.170942
0.5,0.3406,1.205281
0.5,0.3893,1.241694
0.5,0.438,1.280377
0.5,0.4866,1.321547
0.5,0.5353,1.365453
0.5,0.5839,1.412376
0.5,0.6326,1.462639
0.5,0.6813,1.516612
0.5,0.7299,1.57472
0.5,0.7786,1.637459
0.5,0.8273,1.705404
0.5,0.8759,1.779232
0.5,0.9246,1.859742
0.7,0.0,1.0
0.7,0.0487,1.035265
0.7,0.0973,1.073108
0.7,0.146,1.113822
0.7,0.1946,1.157748
0.7,0.2433,1.205281
0.7,0.292,1.256883
0.7,0.3406,1.313102
0.7,0.3893,1.374586
0.7,0.438,1.442111
0.7,0.4866,1.516612
0.7,0.5353,1.59923
0.7,0.5839,1.691368
0.7,0.6326,1.794772
0.7,0.6813,1.911642
0.7,0.7299,2.044794
0.7,0.7786,2.197883
0.7,0.8273,2.37575
0.7,0.8759,2.58494
0.7,0.9246,2.834526
