SoC,strain_pct,d_ref_um,tortuosity
0.0,0.0,25.0,2.5
0.0501,0.314584,25.0786,2.485906
0.1003,0.636931,25.1592,2.471592
0.1504,0.96727,25.2418,2.457055
0.2005,1.305827,25.3265,2.442295
0.2506,1.652828,25.4132,2.427308
0.3008,2.0085,25.5021,2.412096
0.3509,2.37307,25.5933,2.396656
0.401,2.746765,25.6867,2.380989
0.4511,3.129811,25.7825,2.365094
0.5013,3.522434,25.8806,2.348973
0.5514,3.924862,25.9812,2.332625
0.6015,4.337322,26.0843,2.316053
0.6516,4.760039,26.19,2.299259
0.7018,5.193242,26.2983,2.282243
0.7519,5.637155,26.4093,2.265009
0.802,6.092007,26.523,2.24756
0.8521,6.558023,26.6395,2.229898
0.9023,7.035431,26.7589,2.212027
0.9524,7.524457,26.8811,2.193951
